ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,DAYNIGHT,TYPE,YEAR,MONTH,geometry,longitude,latitude
2001-05-18,0248,Terra,MODIS,71,D,0.0,2001,5,POINT (117.04100000000001 1.1884),117.04100000000001,1.1884
2001-07-05,0246,Terra,MODIS,75,D,0.0,2001,7,POINT (117.6329 1.1597),117.6329,1.1597
2001-08-20,0258,Terra,MODIS,76,D,0.0,2001,8,POINT (116.7125 0.5049),116.7125,0.5049
2001-08-21,1425,Terra,MODIS,79,N,0.0,2001,8,POINT (116.7134 0.1377),116.7134,0.13770000000000002
2001-08-21,1425,Terra,MODIS,100,N,0.0,2001,8,POINT (116.71149999999999 0.1505),116.71149999999999,0.1505
2001-08-21,1425,Terra,MODIS,100,N,0.0,2001,8,POINT (116.73070000000001 0.1533),116.73070000000001,0.15330000000000002
2001-08-21,1425,Terra,MODIS,92,N,0.0,2001,8,POINT (116.7325 0.1405),116.7325,0.1405
2001-08-22,0245,Terra,MODIS,71,D,0.0,2001,8,POINT (116.9454 1.1260000000000001),116.9454,1.1260000000000001
2001-08-28,1430,Terra,MODIS,86,N,0.0,2001,8,POINT (116.7868 0.1844),116.7868,0.18440000000000004
2001-08-31,0239,Terra,MODIS,72,D,0.0,2001,8,POINT (116.8655 0.5329),116.8655,0.5329
2001-09-02,1449,Terra,MODIS,76,N,0.0,2001,9,POINT (116.78759999999998 0.5128000000000001),116.78759999999998,0.5128000000000001
2001-09-02,1449,Terra,MODIS,81,N,0.0,2001,9,POINT (116.7864 0.5217),116.7864,0.5217
2001-09-02,1449,Terra,MODIS,71,N,0.0,2001,9,POINT (116.7775 0.5205),116.7775,0.5205
2001-09-03,0309,Terra,MODIS,76,D,0.0,2001,9,POINT (117.89830000000002 0.8696999999999999),117.89830000000002,0.8696999999999999
2001-09-04,1436,Terra,MODIS,73,N,0.0,2001,9,POINT (117.3789 1.5342),117.3789,1.5342
2001-09-10,0315,Terra,MODIS,74,D,0.0,2001,9,POINT (116.6126 0.5553),116.6126,0.5553
2001-09-14,0251,Terra,MODIS,78,D,0.0,2001,9,POINT (117.35979999999999 0.5961),117.35979999999999,0.5961
2001-09-14,0251,Terra,MODIS,84,D,0.0,2001,9,POINT (117.3689 0.5948000000000001),117.3689,0.5948000000000001
2001-09-14,0251,Terra,MODIS,81,D,0.0,2001,9,POINT (116.80800000000002 0.2442),116.80800000000002,0.24420000000000003
2001-09-16,1500,Terra,MODIS,77,N,0.0,2001,9,POINT (116.8405 0.5475),116.8405,0.5475
2001-09-23,0244,Terra,MODIS,84,D,0.0,2001,9,POINT (117.81219999999999 0.9144),117.81219999999999,0.9144
2001-09-23,0244,Terra,MODIS,75,D,0.0,2001,9,POINT (116.8331 1.0676),116.8331,1.0676
2001-09-27,1441,Terra,MODIS,71,N,0.0,2001,9,POINT (116.7368 0.3183),116.7368,0.3183
2002-01-27,0253,Terra,MODIS,75,D,0.0,2002,1,POINT (116.53670000000001 0.4559000000000001),116.53670000000001,0.4559000000000001
2002-01-27,0253,Terra,MODIS,83,D,0.0,2002,1,POINT (116.54640000000002 0.4544),116.54640000000002,0.4544
2002-01-30,0323,Terra,MODIS,71,D,0.0,2002,1,POINT (116.53080000000001 0.4689000000000001),116.53080000000001,0.4689000000000001
2002-02-02,1438,Terra,MODIS,78,N,0.0,2002,2,POINT (116.5128 0.4703999999999999),116.5128,0.47039999999999993
2002-02-02,1438,Terra,MODIS,77,N,0.0,2002,2,POINT (116.50170000000001 0.4783000000000001),116.50170000000001,0.47830000000000006
2002-02-09,1443,Terra,MODIS,97,N,0.0,2002,2,POINT (116.6339 0.5138),116.6339,0.5138
2002-02-09,1443,Terra,MODIS,92,N,0.0,2002,2,POINT (116.625 0.5125000000000001),116.625,0.5125000000000001
2002-04-12,0233,Terra,MODIS,81,D,0.0,2002,4,POINT (116.95359999999998 1.1206999999999998),116.95359999999998,1.1206999999999998
2002-04-17,0252,Terra,MODIS,77,D,0.0,2002,4,POINT (116.4981 0.4669),116.4981,0.46690000000000004
2002-07-06,0546,Aqua,MODIS,74,D,0.0,2002,7,POINT (116.7155 0.5599999999999999),116.7155,0.5599999999999999
2002-07-06,0547,Aqua,MODIS,82,D,0.0,2002,7,POINT (117.77160000000002 1.3824),117.77160000000002,1.3824
2002-07-08,0534,Aqua,MODIS,78,D,0.0,2002,7,POINT (116.88580000000002 1.0773000000000001),116.88580000000002,1.0773000000000001
2002-07-29,0552,Aqua,MODIS,81,D,0.0,2002,7,POINT (116.8818 1.1373),116.8818,1.1373
2002-07-29,0552,Aqua,MODIS,73,D,0.0,2002,7,POINT (116.6698 0.4826),116.6698,0.48260000000000003
2002-08-09,0534,Aqua,MODIS,72,D,0.0,2002,8,POINT (117.24249999999999 0.8274999999999999),117.24249999999999,0.8274999999999999
2002-08-09,0534,Aqua,MODIS,83,D,0.0,2002,8,POINT (116.9611 1.1325000000000003),116.9611,1.1325000000000003
2002-08-09,0534,Aqua,MODIS,82,D,0.0,2002,8,POINT (116.9648 1.1351),116.9648,1.1351
2002-08-09,0534,Aqua,MODIS,73,D,0.0,2002,8,POINT (116.86760000000001 1.0788),116.86760000000001,1.0788
2002-08-09,0534,Aqua,MODIS,78,D,0.0,2002,8,POINT (116.8644 1.1304),116.8644,1.1304
2002-08-09,0534,Aqua,MODIS,77,D,0.0,2002,8,POINT (116.73790000000001 0.4671000000000001),116.73790000000001,0.46710000000000007
2002-08-09,0534,Aqua,MODIS,74,D,0.0,2002,8,POINT (116.6352 0.6878000000000001),116.6352,0.6878000000000001
2002-08-11,0521,Aqua,MODIS,93,D,0.0,2002,8,POINT (117.92620000000001 0.8714),117.92620000000001,0.8714
2002-08-11,0521,Aqua,MODIS,72,D,0.0,2002,8,POINT (117.90460000000002 0.9831000000000002),117.90460000000002,0.9831000000000002
2002-08-11,0521,Aqua,MODIS,76,D,0.0,2002,8,POINT (116.7505 0.4626999999999999),116.7505,0.4626999999999999
2002-08-11,0521,Aqua,MODIS,77,D,0.0,2002,8,POINT (117.2877 0.6068),117.2877,0.6068
2002-08-13,0509,Aqua,MODIS,83,D,0.0,2002,8,POINT (116.8861 1.2597),116.8861,1.2597
2002-08-13,0509,Aqua,MODIS,75,D,0.0,2002,8,POINT (116.8809 1.2678),116.8809,1.2678
2002-08-14,0552,Aqua,MODIS,82,D,0.0,2002,8,POINT (116.72259999999999 0.5661),116.72259999999999,0.5661
2002-08-14,0552,Aqua,MODIS,87,D,0.0,2002,8,POINT (116.74240000000002 1.2030999999999998),116.74240000000002,1.2030999999999998
2002-08-14,0552,Aqua,MODIS,90,D,0.0,2002,8,POINT (116.76000000000002 1.2149),116.76000000000002,1.2149
2002-08-14,0552,Aqua,MODIS,88,D,0.0,2002,8,POINT (116.74110000000002 1.2123),116.74110000000002,1.2123
2002-08-14,0552,Aqua,MODIS,72,D,0.0,2002,8,POINT (116.97249999999998 1.0168999999999997),116.97249999999998,1.0168999999999997
2002-08-14,0552,Aqua,MODIS,94,D,0.0,2002,8,POINT (116.60230000000001 0.8151),116.60230000000001,0.8151
2002-08-14,0552,Aqua,MODIS,85,D,0.0,2002,8,POINT (116.5626 0.8281),116.5626,0.8281
2002-08-14,0552,Aqua,MODIS,91,D,0.0,2002,8,POINT (116.5533 0.8268),116.5533,0.8268
2002-08-14,0552,Aqua,MODIS,78,D,0.0,2002,8,POINT (117.05029999999998 1.1457),117.05029999999998,1.1457
2002-08-14,0552,Aqua,MODIS,95,D,0.0,2002,8,POINT (117.0406 1.1443),117.0406,1.1443
2002-08-14,0552,Aqua,MODIS,76,D,0.0,2002,8,POINT (116.8838 1.0484),116.8838,1.0484
2002-08-14,0552,Aqua,MODIS,78,D,0.0,2002,8,POINT (116.9207 1.0631000000000002),116.9207,1.0631000000000002
2002-08-14,0552,Aqua,MODIS,88,D,0.0,2002,8,POINT (116.82210000000002 0.4242),116.82210000000002,0.4242
2002-08-14,0552,Aqua,MODIS,75,D,0.0,2002,8,POINT (117.2914 0.602),117.2914,0.602
2002-08-14,0552,Aqua,MODIS,74,D,0.0,2002,8,POINT (116.8524 0.8787000000000001),116.8524,0.8787000000000001
2002-08-14,0552,Aqua,MODIS,94,D,0.0,2002,8,POINT (116.85099999999998 0.8879999999999999),116.85099999999998,0.8879999999999999
2002-08-14,0552,Aqua,MODIS,80,D,0.0,2002,8,POINT (116.84149999999998 0.8865999999999999),116.84149999999998,0.8865999999999999
2002-08-16,0246,Terra,MODIS,92,D,0.0,2002,8,POINT (116.7866 1.2170000000000003),116.7866,1.2170000000000003
2002-08-16,0246,Terra,MODIS,77,D,0.0,2002,8,POINT (116.9083 1.0884999999999998),116.9083,1.0884999999999998
2002-08-16,0246,Terra,MODIS,83,D,0.0,2002,8,POINT (116.79890000000002 0.4135),116.79890000000002,0.4135
2002-08-16,0246,Terra,MODIS,86,D,0.0,2002,8,POINT (116.7887 0.4058),116.7887,0.4058
2002-08-16,0246,Terra,MODIS,93,D,0.0,2002,8,POINT (116.7977 0.4045000000000001),116.7977,0.4045000000000001
2002-08-16,0539,Aqua,MODIS,71,D,0.0,2002,8,POINT (116.5148 0.4746000000000001),116.5148,0.4746000000000001
2002-08-16,0539,Aqua,MODIS,74,D,0.0,2002,8,POINT (116.81859999999999 0.3982999999999999),116.81859999999999,0.39829999999999993
2002-08-16,0539,Aqua,MODIS,100,D,0.0,2002,8,POINT (116.8255 0.4182000000000001),116.8255,0.41820000000000007
2002-08-16,0539,Aqua,MODIS,74,D,0.0,2002,8,POINT (116.3733 0.7693),116.3733,0.7693
2002-08-16,0539,Aqua,MODIS,74,D,0.0,2002,8,POINT (116.89230000000002 0.6118999999999999),116.89230000000002,0.6118999999999999
2002-08-16,0539,Aqua,MODIS,79,D,0.0,2002,8,POINT (116.68530000000001 0.6546999999999998),116.68530000000001,0.6546999999999998
2002-08-16,0539,Aqua,MODIS,89,D,0.0,2002,8,POINT (116.8192 0.8326000000000001),116.8192,0.8326000000000001
2002-08-16,0539,Aqua,MODIS,81,D,0.0,2002,8,POINT (116.5846 0.7613000000000001),116.5846,0.7613000000000001
2002-08-16,0539,Aqua,MODIS,100,D,0.0,2002,8,POINT (116.57490000000001 0.7599000000000001),116.57490000000001,0.7599000000000001
2002-08-16,0539,Aqua,MODIS,100,D,0.0,2002,8,POINT (116.57360000000001 0.7692000000000001),116.57360000000001,0.7692000000000001
2002-08-16,0539,Aqua,MODIS,97,D,0.0,2002,8,POINT (116.56380000000001 0.7678000000000001),116.56380000000001,0.7678000000000001
2002-08-16,0539,Aqua,MODIS,80,D,0.0,2002,8,POINT (116.56250000000001 0.7771000000000001),116.56250000000001,0.7771000000000001
2002-08-16,0539,Aqua,MODIS,72,D,0.0,2002,8,POINT (116.6202 0.4077),116.6202,0.40769999999999995
2002-08-16,0540,Aqua,MODIS,80,D,0.0,2002,8,POINT (116.7623 1.1926),116.7623,1.1926
2002-08-16,0540,Aqua,MODIS,100,D,0.0,2002,8,POINT (116.7347 1.2144),116.7347,1.2144
2002-08-16,0540,Aqua,MODIS,90,D,0.0,2002,8,POINT (116.9644 1.0091999999999999),116.9644,1.0091999999999999
2002-08-16,0540,Aqua,MODIS,100,D,0.0,2002,8,POINT (116.93029999999999 1.1604),116.93029999999999,1.1604
2002-08-16,0540,Aqua,MODIS,83,D,0.0,2002,8,POINT (116.8664 1.0234),116.8664,1.0234
2002-08-16,0540,Aqua,MODIS,80,D,0.0,2002,8,POINT (116.8305 1.0346000000000002),116.8305,1.0346000000000002
2002-08-16,1508,Terra,MODIS,90,N,0.0,2002,8,POINT (116.788 1.2344),116.788,1.2344
2002-08-16,1508,Terra,MODIS,73,N,0.0,2002,8,POINT (116.78229999999999 1.2329999999999999),116.78229999999999,1.2329999999999999
2002-08-16,1800,Aqua,MODIS,92,N,0.0,2002,8,POINT (116.7913 1.244),116.7913,1.244
2002-08-16,1800,Aqua,MODIS,84,N,0.0,2002,8,POINT (116.78980000000001 1.2337),116.78980000000001,1.2337
2002-08-16,1800,Aqua,MODIS,83,N,0.0,2002,8,POINT (116.7416 1.2304),116.7416,1.2304
2002-08-16,1800,Aqua,MODIS,80,N,0.0,2002,8,POINT (116.7401 1.2202),116.7401,1.2202
2002-08-17,0622,Aqua,MODIS,86,D,0.0,2002,8,POINT (116.7945 1.2151),116.7945,1.2151
2002-08-17,0622,Aqua,MODIS,79,D,0.0,2002,8,POINT (116.79219999999998 1.2313),116.79219999999998,1.2313
2002-08-17,0622,Aqua,MODIS,94,D,0.0,2002,8,POINT (116.78980000000001 1.2475),116.78980000000001,1.2475
2002-08-17,0622,Aqua,MODIS,93,D,0.0,2002,8,POINT (116.784 1.2396),116.784,1.2396
2002-08-17,0622,Aqua,MODIS,75,D,0.0,2002,8,POINT (116.75870000000002 1.2265000000000001),116.75870000000002,1.2265000000000001
2002-08-17,0622,Aqua,MODIS,74,D,0.0,2002,8,POINT (116.75059999999999 1.235),116.75059999999999,1.235
2002-08-18,0234,Terra,MODIS,97,D,0.0,2002,8,POINT (116.82090000000001 1.2367),116.82090000000001,1.2367
2002-08-18,0527,Aqua,MODIS,71,D,0.0,2002,8,POINT (116.6417 0.2092),116.6417,0.2092
2002-08-18,0527,Aqua,MODIS,85,D,0.0,2002,8,POINT (116.6263 0.2069),116.6263,0.20689999999999997
2002-08-18,0527,Aqua,MODIS,84,D,0.0,2002,8,POINT (116.56120000000001 0.2211),116.56120000000001,0.22110000000000002
2002-08-18,0527,Aqua,MODIS,89,D,0.0,2002,8,POINT (116.80059999999999 1.2077999999999998),116.80059999999999,1.2077999999999998
